product_id,product_name,category,price,cost,stock_qty
1,"Wireless Earbuds",Electronics,1499.00,900.00,224
2,Smartwatch,Electronics,2999.00,1800.00,188
3,"Bluetooth Speaker",Electronics,1999.00,1100.00,162
4,"Power Bank 10000mAh",Electronics,999.00,600.00,55
5,"Laptop Bag",Electronics,1299.00,700.00,162
6,"USB-C Hub",Electronics,899.00,450.00,199
7,"Wireless Mouse",Electronics,599.00,300.00,280
8,"Mechanical Keyboard",Electronics,2499.00,1400.00,224
9,"Men Cotton T-Shirt",Fashion,499.00,220.00,294
10,"Women Kurti",Fashion,899.00,400.00,189
11,"Denim Jeans",Fashion,1499.00,700.00,34
12,"Running Shoes",Fashion,2499.00,1200.00,79
13,"Leather Wallet",Fashion,799.00,350.00,153
14,Sunglasses,Fashion,699.00,300.00,111
15,"Non-Stick Pan Set","Home & Kitchen",1799.00,900.00,155
16,"Air Fryer","Home & Kitchen",4999.00,3000.00,39
17,"Bedsheet Set","Home & Kitchen",1199.00,550.00,75
18,"Table Lamp","Home & Kitchen",899.00,400.00,242
19,"Storage Boxes Set","Home & Kitchen",599.00,250.00,196
20,"Face Wash Combo",Beauty,399.00,150.00,180
21,"Hair Dryer",Beauty,1299.00,600.00,243
22,"Perfume 100ml",Beauty,1599.00,700.00,281
23,"Makeup Kit",Beauty,1999.00,900.00,79
24,"Fiction Novel",Books,349.00,150.00,217
25,"Self-Help Book",Books,399.00,180.00,117
26,"Kids Story Set",Books,599.00,250.00,150
27,"Yoga Mat",Sports,699.00,300.00,42
28,"Dumbbell Set 10kg",Sports,1899.00,1000.00,243
29,"Cricket Bat",Sports,1299.00,600.00,20
30,"Almonds 500g",Grocery,549.00,350.00,286
31,"Green Tea Pack",Grocery,299.00,150.00,295
32,"Organic Honey 500g",Grocery,399.00,220.00,120
